order_id,customer_id,product_id,order_quantity,purchased_via,order_delivered,order_returned,order_date,full_nm,age,location,loyalty_points,gender,last_login_date,prd_name,prd_category,unit_price,prd_description
3f317a7b-2e1f-4561-8b36-35649bf61dc0,1d2c85bf-aeac-4400-a061-aec043988722,14357675-2bd3-43c7-87a3-f557f88cab0e,957,amazon,no,False,2023-05-18,Jesse Landry,37,"Salt Lake City, Utah, USA",22,male,2023-12-17,exwo,apparel,48.8,Gun each center film our side else region.
9465802b-7a70-417e-9348-ec96200b94d1,1d2c85bf-aeac-4400-a061-aec043988722,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,860,in-store,yes,False,2021-01-24,Jesse Landry,37,"Salt Lake City, Utah, USA",22,male,2023-12-17,vpmy,beauty,30.1,Law his team onto.
1470ae61-aba3-4f97-93e6-816484d1648b,3d966c7a-9a10-4e54-8d0b-e43c9d4b15fb,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,69,in-store,no,False,2022-03-10,Angela Curtis,41,"Portland, Oregon, USA",58,male,2020-07-24,vpmy,beauty,30.1,Law his team onto.
ffc677ff-99bb-4e02-b0e3-b4ffbc77dc41,73fa02eb-65e4-419a-b3d7-341917331a1d,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,368,website,yes,False,2023-05-26,Jesus Bray,43,"Rio de Janeiro, Brazil",67,other,2023-01-10,vpmy,beauty,30.1,Law his team onto.
b84acb14-322c-4120-b3a9-7ea4794e4ed5,6ef13718-60be-49c7-9aec-20accd8bab89,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,148,amazon,no,False,2022-09-30,Kelly Reynolds,33,"Paris, France",95,male,2020-11-11,vpmy,beauty,30.1,Law his team onto.
2da48bea-4951-4f9b-b2f8-95fd820fccd8,661e2172-3bd4-4ea2-858b-0d3012a885a2,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,4,amazon,no,True,2021-04-11,Ryan Lee,27,"KL, Malaysia",22,male,2024-01-03,vpmy,beauty,30.1,Law his team onto.
33faa5d7-e8eb-4f37-b6c0-de44daab1058,87f79f99-d722-448f-8b9e-1a85ca98a45e,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,233,amazon,yes,False,2023-03-30,Joel Morton,80,"LA, California, USA",52,other,2021-09-30,vpmy,beauty,30.1,Law his team onto.
4494efe8-4784-4067-a393-050808f5fc2b,1cc4f018-60fe-4bdb-aaf2-2ddb82b2cd78,20cadbad-3e3e-4c85-adf7-0e0b3471bf24,446,in-store,yes,True,2022-05-04,Steven Jordan,36,"Milan, Italy",33,other,2023-07-11,vpmy,beauty,30.1,Law his team onto.
4a56a9d7-9db3-44b9-a2da-a244192388be,7613bcbb-a6f9-4821-bb47-e6c53b462d37,7502a148-3c21-44ca-859e-8cf14911cc4b,927,in-store,yes,True,2023-09-23,Jeffrey Jones,69,"San Jose, California, USA",46,female,2022-09-05,pxyf,electronics,52.2,However western focus leave control.
ad4870c4-7478-4b13-84c3-e6b9d4c8e56a,3d966c7a-9a10-4e54-8d0b-e43c9d4b15fb,7502a148-3c21-44ca-859e-8cf14911cc4b,297,website,no,False,2023-06-07,Angela Curtis,41,"Portland, Oregon, USA",58,male,2020-07-24,pxyf,electronics,52.2,However western focus leave control.
7cef722c-72b3-41ee-8349-9b4dc7f7b333,c2868872-a7f5-4d4d-8b30-f4fef656c9d4,7502a148-3c21-44ca-859e-8cf14911cc4b,286,in-store,yes,False,2021-09-29,Mark Miller,33,"Madrid, Spain",76,other,2021-02-09,pxyf,electronics,52.2,However western focus leave control.
72a9c09c-d33d-46b2-b6bb-ef412c661d4b,fc2327d2-fa7d-4982-9b57-6622aae0800b,7502a148-3c21-44ca-859e-8cf14911cc4b,45,in-store,yes,True,2023-11-11,Michael Leonard,27,"Salt Lake City, Utah, USA",37,female,2021-06-19,pxyf,electronics,52.2,However western focus leave control.
b6c57200-75e3-4433-acea-0134d202443b,7613bcbb-a6f9-4821-bb47-e6c53b462d37,b405bb73-851a-4fe4-9b69-de449fc3e197,991,website,no,False,2021-01-09,Jeffrey Jones,69,"San Jose, California, USA",46,female,2022-09-05,oxhc,electronics,74.0,Find gun strong receive player region.
975b1927-c3ce-45cc-963e-7a513fdaad2c,512092c9-5a18-4493-b882-fc016ff409a8,b405bb73-851a-4fe4-9b69-de449fc3e197,278,in-store,yes,True,2021-10-08,Katrina Becker,70,"Salt Lake City, Utah, USA",36,other,2023-07-08,oxhc,electronics,74.0,Find gun strong receive player region.
93555cfa-ef15-44bc-a237-4a471370e35a,10d9616b-2138-4d85-828a-57a9bb918b9c,b405bb73-851a-4fe4-9b69-de449fc3e197,465,in-store,yes,True,2021-08-09,Dr. Dorothy Gonzalez,28,"Madrid, Spain",21,male,2024-03-21,oxhc,electronics,74.0,Find gun strong receive player region.
