customer_id,full_nm,age,location,loyalty_points,gender,last_login_date
1099a04f-606c-426c-9473-0eee51d2c6f4,Dr. Nicholas Olsen,22,"KL, Malaysia",9,male,2023-12-20
ddf179bd-a90d-41f6-bb97-6b1b029bfbb3,Carla Rodriguez,19,"Madrid, Spain",96,female,2020-06-19
bba054ee-fdcc-4417-a1bd-151127c12a40,Samuel Miller,31,"San Jose, California, USA",16,other,2023-07-31
d9abfcb5-4670-4b3f-a625-8a441c9fe392,Tracy Fisher,55,"Paris, France",90,other,2021-12-23
d7bde464-b28a-44e8-aab0-7d6e4ddb3612,Wayne Hoffman,62,"Rio de Janeiro, Brazil",21,other,2022-03-06
1b6bfddf-e3a2-4057-bd84-fc12e6a7c39d,Timothy Clark,15,"Paris, France",38,female,2021-11-17
97c98904-521f-45c1-afb3-f95f9c070e61,Jill Gay,34,"Madrid, Spain",78,female,2023-08-04
04252a2e-4754-4992-a45a-3be22b24a190,Tanner Hughes,31,"Paris, France",26,male,2020-09-02
335f1b98-a704-4007-8b5a-7cba0f0d8c87,April Turner,48,"Milan, Italy",76,male,2020-06-11
df8785e2-aeb1-41a1-9fc2-16a6cac19684,Jeremy Hernandez MD,52,"KL, Malaysia",28,other,2024-01-07
7b26ec62-bffa-4fab-972e-80c50f647e73,Jodi Baker,24,"Salt Lake City, Utah, USA",68,female,2021-07-31
22e697ae-1cea-43ab-912d-f0d1e562a650,Eduardo Perez,71,"Madrid, Spain",98,male,2023-04-20
d71987cb-f1e7-4ad6-8543-2ecdaeab0e06,Joseph Allen,73,"San Jose, California, USA",58,male,2023-10-06
3ab2f879-6576-4838-b2d5-00f7fc7fa971,Sara Peterson,80,"Salt Lake City, Utah, USA",25,other,2021-11-26
e538564a-68e9-47a0-9c18-f4e38f622ee5,Nina Williams,85,"LA, California, USA",33,other,2021-01-17
a96703b6-63ff-420c-b8fe-3433a95e651e,Eric Hickman,17,"Milan, Italy",58,other,2024-02-27
39aa687a-8ace-4a66-8531-3da9bdd4df8e,Bryan Brennan,62,"LA, California, USA",78,male,2020-11-01
e541fdc3-027d-4aee-a7c4-d7f70450d9e6,Melvin Schmidt,21,"Paris, France",28,female,2020-01-25
81d97eb7-be50-41b2-a1f1-660ef7c9d5a8,Luis Lyons,53,"Paris, France",46,other,2023-08-10
1cf8833b-386a-44fb-8da7-1afc74fc5462,Kristina Sanders,23,"San Jose, California, USA",8,male,2021-09-08
5e037fae-0ace-4166-ad2e-3e8124c76547,Judith Armstrong,63,"Milan, Italy",54,male,2022-08-27
1d40846d-b7da-4a5c-be19-c4f1a30e4b99,Dr. Erica Cortez MD,52,"Rio de Janeiro, Brazil",37,female,2021-07-07
cebb716d-51dd-4f2a-bb36-454eadd91bf7,Haley Brooks,23,"San Jose, California, USA",5,female,2022-03-06
7b5da078-f49e-4907-bd23-b6059118d268,William Torres,29,"KL, Malaysia",93,other,2021-05-04
71a772fa-cc91-4d2a-b691-a7e1d3e127b4,Melissa Sanchez,49,"Milan, Italy",22,female,2022-04-23
225606ec-4ddd-4718-8da5-f68c9daaa91b,Peter Wagner,54,"Madrid, Spain",96,female,2021-08-01
0a0410d4-da27-4e63-ad21-52d7bb3eae9b,Tamara Perry,49,"Salt Lake City, Utah, USA",98,male,2021-03-08
1bd7880c-4ae1-4c4d-b2dd-eb14374cbd1f,Robert Farley,33,"Milan, Italy",50,male,2023-05-26
bf24ebb6-e3ec-4f07-aa9a-9efafcfb78e6,Julia Garcia,85,"Madrid, Spain",41,female,2022-05-12
d0821ca3-904b-4096-b0d4-093bb75fc1f5,Janet Smith,85,"Paris, France",96,other,2020-01-01
